polo,dez. / 2020,dez. / 2021,Incremento anual,Variação anual
Xitei,11.34,136.18,124.84,1101
Palimiu,4.76,15.59,10.83,228
Homoxi,145.98,399.29,253.31,174
Papiu ( maloca),17.44,38.77,21.33,122
Hakoma,24.98,42.21,17.23,69
Alto Catrimani,104.36,175.43,71.069,68
Parima (Arathau),77.76,112.32,34.56,44
Apiaú,76.79,106.65,29.859,39
Kayanau (papiu),510.17,688.81,178.64,35
Waikás,1169.93,1466.11,296.18,25
Ericó,19.04,23.36,4.324,23
Alto Mucajaí,15.75,17.11,1.36,9
Demini,2.32,1.86,-0.46,-20
Surucucus,35.18,27.49,-7.69,-22
Uraricoera,5.4,2.98,-2.42,-45
Médio Catrimani,12.8,4.36,-8.44,-66
Auaris,0,04.05,04.05,NA
Parafuri,0,5.51,5.51,NA
Waputha,0,04.01,04.01,NA
