Casos autóctones do DSEI Yanomami -2014,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,Total
Marari,658,241,52,28,19,27,8,1,1,1035
Médio Padauiri,349,116,19,26,8,2,1,,,521
Marauiá,173,77,26,14,8,5,4,1,,308
Missão Catrimani,101,61,15,5,3,,2,1,,188
Baixo Mucajai,109,43,8,3,3,,1,,,167
Aratha-u,64,53,17,8,5,4,4,,,155
Ajarani,95,17,2,3,1,1,,,,119
Ericó,62,30,6,2,1,1,1,,,103
Alto Mucajai,34,23,3,7,1,1,2,,,71
Sauba,24,19,3,6,6,,2,,,60
Cachoeira do Araçá,35,20,,2,1,,,,,58
Palimiú,22,13,4,2,1,,1,,,43
Uraricoera,18,6,2,,,,,,,26
Apiaú,14,1,,,,1,,,,16
Aracá,7,6,,,1,,1,,,15
Alto Padauiri,7,2,,2,,,,,,11
Auaris,3,3,1,1,,1,1,,,10
Novo-Demini,5,2,,,,,,,,7
Parafuri,2,1,,,,,,,,3
Waikás,,,,1,,1,,,,2
Toototobi,2,,,,,,,,,2
Surucucu,,1,1,,,,,,,2
Maia,,,2,,,,,,,2
Maturacá,,,1,,,,,,,1
Inambú,,1,,,,,,,,1
Haxiu,,,1,,,,,,,1
Balawau,1,,,,,,,,,1
Total,1785,736,163,110,58,44,28,3,1,2928
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
