Casos autóctones do DSEI Yanomami - 2015,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,
Marauiá,742,317,133,88,53,23,15,13,4,1388
Marari,428,171,35,22,15,6,6,,,683
Alto Mucajai,299,125,26,9,7,7,1,1,,475
Médio Padauiri,211,59,6,8,3,,,,,287
Parafuri,167,75,13,6,3,5,,2,2,273
Ericó,128,77,20,8,8,4,3,,,248
Baixo Mucajai,146,62,8,6,10,2,2,,,236
Missão Catrimani,102,59,18,11,3,11,,2,,206
Palimiú,77,31,9,6,5,3,3,,,134
Paapiu,47,36,9,4,1,2,1,,1,101
Surucucu,30,24,8,3,2,4,2,,,73
Apiaú,55,10,2,2,1,3,,,,73
Maloca Paapiu,24,23,10,9,1,4,1,,,72
Aratha-u,22,24,8,1,2,2,,,,59
Sauba,25,14,5,4,2,2,,,,52
Alto Catrimani,21,13,6,2,2,2,1,,,47
Auaris,7,10,6,1,3,3,1,1,,32
Uraricoera,15,6,1,2,4,,,1,,29
Alto Padauiri,14,14,1,,,,,,,29
Ajarani,23,5,,,,1,,,,29
Balawau,6,5,3,2,4,2,1,1,,24
Novo-Demini,1,4,1,1,2,2,,,,11
Baixo Catrimani,9,1,,,,,,,,10
Maturacá,2,1,1,4,1,,,,,9
Toototobi,3,3,,1,1,,,,,8
Cachoeira do Araçá,7,1,,,,,,,,8
Maia,,1,3,1,,,1,1,,7
Xitei,1,1,,1,,,,,,3
Haxiu,2,1,,,,,,,,3
Waputha,2,,,,,,,,,2
Aracá,,1,1,,,,,,,2
Ajuricaba,1,,,,1,,,,,2
Waikás,,,,1,,,,,,1
Inambú,,1,,,,,,,,1
Hakoma,,1,,,,,,,,1
Total,2617,1176,333,203,134,88,38,22,7,4618
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
