                                                                                                                           ,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,Total
Marauiá,1.381,619,203,138,74,36,19,23,1,2.494
Médio Padauiri,310,125,15,16,19,1,3,1,1,491
Balawau,217,109,37,25,16,14,6,2,1,427
Aratha-u,210,122,46,17,10,10,1,2,,418
Ericó,167,104,33,14,18,8,3,1,2,350
Marari,223,65,35,7,1,3,,1,1,336
Missão Catrimani,177,90,26,9,4,8,4,2,1,321
Alto Mucajai,162,86,15,15,7,2,3,1,,291
Sauba,133,72,22,15,12,8,2,,,264
Alto Catrimani,90,61,8,2,3,2,3,,,169
Parafuri,83,55,4,6,2,4,,,,154
Uraricoera,60,39,14,4,3,3,1,2,,126
Toototobi,29,18,13,4,4,3,,2,1,74
Baixo Mucajai,45,22,3,2,1,,,,,73
Maia,21,21,6,8,2,1,4,3,1,67
Cachoeira do Araçá,19,17,3,1,1,5,,,,46
Palimiú,27,15,1,,1,,1,,,45
Hakoma,17,17,5,2,,,,,,41
Alto Padauiri,15,14,1,1,3,1,,,,35
Aracá,8,5,6,4,2,,,1,,26
Novo-Demini,15,2,1,3,,1,2,,,24
Auaris,5,9,5,2,1,2,,,,24
Apiaú,12,1,3,1,,,,,,17
Waikás,,3,3,3,2,1,,,,12
Ajuricaba,5,6,1,,,,,,,12
Maturacá,2,2,,6,,,,1,,11
Maloca Paapiu,4,3,2,,,,,,,9
Inambú,4,1,2,1,,,,,,8
Surucucu,2,1,1,1,,,,1,,6
Ajarani,2,,,,,,,,,2
Xitei,,1,,,,,,,,1
Demini,1,,,,,,,,,1
Baixo Catrimani,,,,,1,,,,,1
Total,3.446,1705,514,307,187,113,52,43,9,6.376
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
