Casos autóctones do DSEI Yanomami - 2021*,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,
Auaris,937,720,283,169,69,62,28,9,,2277
Marari,1.084,456,173,91,62,33,22,6,1,1.928
Marauiá,1.004,393,228,134,78,41,12,15,6,1.911
Balawau,695,347,141,62,56,36,25,14,1,1377
Novo-Demini,520,346,158,67,49,16,35,14,1,1206
Aratha-u,594,275,142,66,34,15,13,3,1,1143
Maloca Paapiu,469,233,115,39,27,11,17,10,1,922
Toototobi,377,267,98,47,39,29,17,7,4,885
Missão Catrimani,378,241,145,55,24,19,14,3,2,881
Alto Mucajai,382,271,88,39,23,20,4,3,1,831
Médio Padauiri,473,154,57,29,22,7,6,,,748
Parafuri,285,149,89,53,30,18,2,2,2,630
Ericó,292,144,93,20,17,13,2,2,1,584
Sauba,306,166,45,24,17,10,3,5,,576
Uraricoera,194,103,108,64,38,14,3,2,,526
Surucucu,186,113,74,59,18,21,8,1,1,481
Paapiu,201,116,56,39,20,8,4,,1,445
Palimiú,238,129,29,13,7,3,1,2,,422
Waikás,118,82,55,52,26,6,8,1,3,351
Apiaú,199,79,38,9,11,5,5,1,,347
Alto Catrimani,180,102,30,12,14,4,3,1,,346
Baixo Catrimani,203,77,33,13,5,5,1,,1,338
Baixo Mucajai,145,74,26,8,14,3,1,,,271
Alto Padauiri,127,73,17,14,16,4,3,,,254
Ajuricaba,88,58,35,19,8,4,8,1,,221
Cachoeira do Araçá,58,56,25,4,10,4,2,2,,161
Aracá,30,17,12,5,5,1,2,,,72
Demini,26,14,11,5,2,2,2,,,62
Hakoma,10,16,13,4,2,4,3,1,,53
Inambú,14,14,8,7,4,,1,1,,49
Maturacá,,4,9,7,5,1,1,1,,28
Ajarani,9,4,6,3,,,,,,22
Waputha,8,3,3,3,1,,,,,18
Maia,1,1,7,1,2,,,,,12
Homoxi,1,,1,3,,2,,,,7
Xitei,2,,2,,,1,1,,,6
Haxiu,,1,1,,1,,,,,3
Total,9834,5298,2454,1239,756,422,257,107,27,20394
"Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 27/01/2022. *Dados de 2021 são preliminares, sujeitos à alteração. ",,,,,,,,,,
